resto_id,resto_name,resto_type,resto_rating,rating_numbers,average_operation_hours,resto_address,check_payment,cash_payment_only,debit_card_payment,credit_card_payment,voucher_payment,phone_NFC_payment,dog_allowed,suitable_for_children,high_chair_facility,bar_facility,toilet_facility,netral_gender_toilet_facility,wifi_facility,paid_wifi_facility,free_wifi_facility,high_class_atmosphere,viral_atmosphere,comfortable_atmosphere,relaxed_atmosphere,sell_alcohol,sell_beer,sell_fast_food,sell_late_night_food,sell_organic_food,sell_cocktail,sell_coffee,all_you_can_eat,sell_halal_food,menu_for_childern,healty_menu,vegetarian_menu,sell_wine,contactless_deliverys_services,take_away,drive_through,dine_in,delivery,open_space
1,Mbok Berek Ekarini DJAGO - Ngesrep,Restoran Masakan Ayam,4.1,222,12.5,"Jl. Setia Budi No.115, Srondol Kulon, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,Adi's Culinary Banyumanik,Restoran,4.7,1353,12.0,"Jl. Durian Raya No.49, Srondol Wetan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
3,"Awanbengi Kitchen, Coffee & Etc",Restoran,4.7,401,8.0,"Jl. Jati Raya No.K1, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
4,Four Tastes,Restoran Keluarga,4.5,19,8.78571429,"Jl. Setia Budi No.62, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6,Gethuk Lindri Mbah Djiyem,Restoran,5.0,7,3.78571429,"Jl. Ngesrep Barat IV No.35, RT.1/RW.9, Srondol Kulon, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
7,Lombok Idjo Setiabudi,Restoran Jawa,4.3,3357,10.0,"Jl. Setia Budi No.63 A, Tinjomoyo, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50262",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
8,Kebon Ndhelik Banyumanik,Restoran,4.3,153,9.0,"Srondol Wetan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
9,ratatouille street bistro,Restoran,4.7,9,10.0,"Jl. Ngesrep Bar. V Dlm No.1, Srondol Kulon, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
10,Warung Lesehan Fifty Fifty Sumurboto Banyumanik,Restoran Jawa,4.3,3859,12.0,"Jl. Ngesrep Tim. V No.118, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50269",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
11,Mr.K Cafe Gombel,Kafe,4.5,6259,12.0,"Jl. Setia Budi No.28, Ngesrep, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
12,Rinoso Banyumanik,Restoran,4.5,37,7.0,"Jl. Kr. Rejo Raya No.28, Srondol Wetan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
14,Swieke Banyumanik,Restoran,4.8,19,8.57142857,"WCH6+JH9, Jl. Cemp., Srondol Wetan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
15,Warung Makan Mbak Deny Banyumanik,Restoran Jawa,4.6,63,5.0,"Jl. Potrosari Tengah No.16, Srondol Kulon, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
16,Waroeng Kuliner Pak Edy 4,Rumah Makan,4.3,81,11.71428571,"Jl. Setia Budi No.52A, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50269",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,Sim Six (Sim-6) garden Resto Ngesrep timur,Restoran,4.5,4297,11.85714286,"Jl. Ngesrep Tim. V No.25, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50269",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
19,Super Penyet Setiabudi,Restoran Masakan Ayam,4.4,5722,12.0,"Jl. Setia Budi No.207, Srondol Kulon, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
20,The Hills Dining Restaurant,Restoran,4.4,1830,17.0,"Royal Park - Bukit Sari, Jl. Bukit Baladewa No.22-24, Ngesrep, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50261",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
21,The Hills Dining Restaurant,Restoran,4.4,1830,17.0,"Royal Park - Bukit Sari, Jl. Bukit Baladewa No.22-24, Ngesrep, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50261",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
22,Rumah Pasta & Pizza Banyumanik,Restoran,4.0,2,1.42857143,"Jl. Kanfer Utara I No.195, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
23,UGA,Restoran Korea,4.6,39,10.5,"Jl. Setia Budi No.62, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
25,Warung Makan Bu Sis,Restoran Jawa,4.5,24,11.0,"XC2F+C3J, Jl. Ngesrep Tim. V Dalam II, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50269",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
26,Waroeng Kaligarong - Kuliner Semarang Setiabudi,Restoran,4.7,1959,11.0,"Jl. Setia Budi No.77, Tinjomoyo, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
27,Sumber Bestik Sumurboto Banyumanik,Restoran Indonesia,4.3,186,10.0,"Jl. Ngesrep Tim. V No.5, Sumurboto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50269",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
28,Kedai Diajeng Banyumanik,Restoran,4.3,9,9.0,"Srondol Wetan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
29,Lesehan Aldan Cabang Semarang,Restoran,4.3,2538,10.75,"Jl. Ngesrep Tim. V No.44, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50269",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
30,Dak Nalgae Ngesrep Tembalang,Restoran,4.5,255,12.5,"Jl. Ngesrep Tim. V No.55, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50269",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
31,KANE Semarang,Restoran,4.4,2405,11.0,"Jl. Jatimulyo No.8, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32,Rasa Bekti Chinese food,Restoran,5.0,9,15.0,"Jl. Ngesrep Barat I No.6, Tinjomoyo, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50262",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
33,Pizza Marzano,Restoran Italia,4.6,277,12.0,"Jl. Setia Budi No.71, Tinjomoyo, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50262",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
34,Warung Makan Bu Yanti,Restoran Jawa,4.3,370,9.42857143,"Jl. Ngesrep Bar. VI No.33, Srondol Kulon, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35,Semangkokae Semarang,Restoran Indonesia,4.8,4,12.0,"XC2C+3CQ, Jl. Ngesrep Tim. V, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
36,"Portobello ( Pizza , foods , and Drinks ) - JL. SETIABUDI No. 82",Restoran Italia,4.6,1033,8.78571429,"50269, Jl. Setia Budi No.82, Srondol Kulon, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
40,D'tata Resto & Kopi Dari Hati Banyumanik,Restoran,4.7,26,10.5,"Jl. Sawunggaling Sel. No.1, Padangsari, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50267",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
41,SO'KABE COFE & RESTO,Restoran,4.7,3,10.07142857,"Jl. Tirto Agung No.62, Tembalang, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50275",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
